Univ,College,Major,Continent,Country,Foreign Univ,Semester,Url
KHU,호텔관광대학,관광학부,Europe,독일,Karlshochschule Internationa..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3952&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1141&perpage=15
KHU,경영대학,경영학부,Europe,영국,The University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3951&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1140&perpage=15
KHU,외국어대학,글로벌커뮤니케이션학부,Europe,스웨덴,Jönköping University,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3949&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1139&perpage=15
KHU,경영대학,경영학부,Europe,라트비아,Turiba university,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3948&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1138&perpage=15
KHU,외국어대학,일본어학과,Asia,일본,리츠메이칸,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3947&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1137&perpage=15
KHU,정경대학,언론정보학과,Europe,프랑스,EDHEC Business School,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3945&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1136&perpage=15
KHU,공과대학,환경학및환경공학과,Asia,말레이시아,UM(Malaya University),2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3942&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1135&perpage=15
KHU,이과대학,물리학과,Europe,영국,Leeds University,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3940&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1134&perpage=15
KHU,약학대학,한약학과,Northern America,미국,University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3939&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1133&perpage=15
KHU,경영대학,경영학부,Europe,프랑스,aixmarseille universite 대학..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3938&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1132&perpage=15
KHU,외국어대학,일본어학과,Asia,일본,츄오대학,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3937&b_code=12&page=129&s1=&s2=&b_ex1=&idx_no=1131&perpage=15
KHU,외국어대학,일본어학과,Asia,일본,관서학원대학,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3936&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1130&perpage=15
KHU,외국어대학,영미어학부,Northern America,미국,University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3935&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1129&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,북경대학교,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3934&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1128&perpage=15
KHU,외국어대학,일본어학과,Asia,말레이시아,HELP University,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3933&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1127&perpage=15
KHU,예술·디자인대학,연극영화학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3932&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1126&perpage=15
KHU,약학대학,한약학과,etc,University of Mancheste,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3931&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1125&perpage=15
KHU,한의과대학,한의예과,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3930&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1124&perpage=15
KHU,공과대학,산업경영공학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3929&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1123&perpage=15
KHU,미술대학,미술학부,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3928&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1122&perpage=15
KHU,약학대학,한약학과,Northern America,미국,University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3927&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1121&perpage=15
KHU,이과대학,지리학과,etc,미국} University of North Carolina.,[미국} University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3926&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1120&perpage=15
KHU,경영대학,경영학부,Europe,프랑스,EDHEC business school,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3925&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1119&perpage=15
KHU,문과대학,영어학부,Northern America,미국,University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3924&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1118&perpage=15
